depth,gr,vp_hole,vp_no_hole,vp_gardner,vp_rebuilt
2076.1941,97.5154,NULL,2436.9,2338.0465408884397,2338.0465408884397
2076.3464,102.2606,NULL,2442.9,2340.6181634657964,2340.6181634657964
2076.4988,103.9925,NULL,2446.6,2331.9022046170057,2331.9022046170057
2076.6511,106.6709,NULL,2449.1,2330.864584233593,2330.864584233593
2076.8037,105.0728,NULL,2440.3,2337.2612998436343,2337.2612998436343
2076.9561,106.6946,NULL,2408.9,2340.1199321323766,2340.1199321323766
2077.1084,108.7637,NULL,2389.2000000000007,2343.8790995800523,2343.8790995800523
2077.2607,112.7766,NULL,2377.9,2330.0536382528153,2330.0536382528153
2077.4131,117.7694,NULL,2366.9,2320.768410399119,2320.768410399119
2077.5657,116.6423,NULL,2360.4,2319.6053440238325,2319.6053440238325
2077.718,109.5722,NULL,2364.5,2326.089444884987,2326.089444884987
2077.8704,100.5783,NULL,2351.3,2345.307040716331,2345.307040716331
2078.0227,93.0723,NULL,2371.8,2333.889668121576,2333.889668121576
2078.1753,96.5476,NULL,2345.1,2307.5739448320724,2307.5739448320724
2078.3276,99.90899999999999,NULL,2283.6,2290.6526182406155,2290.6526182406155
2078.48,106.7446,NULL,2292.8,2297.866423249938,2297.866423249938
2078.6323,106.3187,NULL,2297.9,2303.1065769369693,2303.1065769369693
2078.7849,102.5297,NULL,2303.5,2303.279140230009,2303.279140230009
2078.9373,96.5598,NULL,2301.2000000000007,2291.597529931938,2291.597529931938
2079.0896,90.5156,NULL,2286.8,2277.2575408985094,2277.2575408985094
2079.2419,88.5052,NULL,2295.8,2283.2286395771584,2283.2286395771584
2079.3943,92.0539,NULL,2318.3,2309.323081188692,2309.323081188692
2079.5469,101.4272,NULL,2304.7,2333.581024979428,2333.581024979428
2079.6992,108.4867,NULL,2308.3,2351.1966502028877,2351.1966502028877
2079.8516,115.9785,NULL,2330.4,2365.4933913575765,2365.4933913575765
